ANO,CO_MUNICIPIO,NO_MUNICIPIO,QTD_ALUNOS_INSE,MEDIA_INSE,TDI_ANOS_FINAIS,MEDIA_ALUNOS_TURMA_ANOS_FINAIS,PERC_ESCOLAS_BAIXA_REGULARIDADE_DOCENTE,PERC_ESCOLAS_MEDIA_BAIXA_REGULARIDADE_DOCENTE,PERC_ESCOLAS_MEDIA_ALTA_REGULARIDADE_DOCENTE,PERC_ESCOLAS_ALTA_REGULARIDADE_DOCENTE,TAXA_ABANDONO_ANOS_FINAIS
2023,3127701,Governador Valadares,6168,5.1156,14.3,27.0,6.8,65.0,27.2,1.0,2.3
2023,3127404,Gonçalves,127,5.2616,17.0,28.6,0.0,0.0,100.0,0.0,1.3
2023,3127370,Goiabeira,77,5.0004,14.6,22.3,0.0,0.0,66.7,33.3,0.0
2023,3127354,Glaucilândia,71,4.8105,4.8,20.6,0.0,14.3,85.7,0.0,1.2
2023,3127339,Gameleiras,185,4.5734,2.7,13.6,0.0,33.3,50.0,16.7,0.7
2023,3127305,Galiléia,135,5.0687,10.8,24.9,0.0,28.6,42.9,28.5,0.3
2023,3127107,Frutal,1475,5.1652,13.4,26.2,0.0,8.7,87.0,4.3,1.5
2023,3127008,Fronteira,399,5.0937,7.9,30.4,11.1,0.0,77.8,11.1,2.0
2023,3126950,Frei Lagonegro,108,4.6893,6.9,17.8,12.5,0.0,75.0,12.5,2.3
2023,3126901,Frei Inocêncio,228,5.0245,21.2,23.4,25.0,50.0,25.0,0.0,3.6
2023,3126802,Frei Gaspar,183,4.6577,23.7,21.8,0.0,40.0,60.0,0.0,5.8
2023,3126752,Franciscópolis,109,4.4645,9.4,23.1,16.7,50.0,33.3,0.0,0.7
2023,3126703,Francisco Sá,614,4.5075,5.7,25.7,4.5,54.5,41.0,0.0,1.5
2023,3126604,Francisco Dumont,130,4.7682,4.8,24.1,0.0,40.0,60.0,0.0,0.0
2023,3126505,Francisco Badaró,174,4.4234,5.2,19.1,29.4,35.3,23.5,11.8,0.3
2023,3126307,Fortaleza de Minas,80,5.249,11.0,18.1,0.0,33.3,66.7,0.0,0.8
2023,3126208,Formoso,313,4.6979,10.9,23.0,0.0,33.3,66.7,0.0,2.1
2023,3126109,Formiga,1543,5.3176,5.3,23.9,28.6,42.9,28.5,0.0,0.0
2023,3126000,Florestal,289,5.4276,12.7,30.3,0.0,0.0,100.0,0.0,0.3
2023,3125952,Fervedouro,314,4.6013,15.8,21.6,30.8,46.2,23.0,0.0,1.4
2023,3125903,Ferros,236,4.6225,6.2,21.8,31.6,31.6,36.8,0.0,0.2
2023,3125804,Fernandes Tourinho,52,4.8222,9.4,32.0,0.0,33.3,66.7,0.0,7.9
2023,3125705,Felixlândia,384,4.8622,19.9,24.2,0.0,30.8,53.8,15.4,1.4
2023,3125606,Felisburgo,186,4.399,18.5,22.8,22.2,0.0,66.7,11.1,2.0
2023,3125507,São Gonçalo do Rio Preto,105,4.8369,3.8,19.8,0.0,0.0,100.0,0.0,0.0
