ANO,CO_MUNICIPIO,NO_MUNICIPIO,QTD_ALUNOS_INSE,MEDIA_INSE
2023,3107703,Bom Jesus do Amparo,169,4.9473
2023,3107604,Bom Jesus da Penha,149,4.9537
2023,3107505,Bom Jardim de Minas,192,5.053
2023,3127206,Funilândia,146,4.8964
2023,3107406,Bom Despacho,1137,5.3019
2023,3107307,Bocaiúva,1382,4.7449
2023,3127388,Goianá,113,5.1733
2023,3127503,Gonzaga,155,4.9521
2023,3107208,Bocaina de Minas,99,5.1052
2023,3107109,Boa Esperança,1069,5.1625
2023,3127602,Gouveia,364,4.8459
2023,3107000,Biquinhas,53,5.1807
2023,3106903,Bicas,266,5.1019
2023,3106804,Bias Fortes,80,4.8735
2023,3106705,Betim,12039,5.2641
2023,3128204,Guaraciaba,213,4.7936
2023,3106655,Berizal,182,4.382
2023,3106606,Bertópolis,147,4.6667
2023,3106507,Berilo,254,4.7571
2023,3106408,Belo Vale,227,5.0244
2023,3106309,Belo Oriente,770,5.1191
2023,3129004,Guiricema,201,4.9011
2023,3129400,Ibertioga,141,4.9193
2023,3106200,Belo Horizonte,44629,5.2722
2023,3129657,Ibiracatu,168,4.3435
2023,3131208,Ipanema,579,5.0099
2023,3106101,Belmiro Braga,109,4.9776
2023,3106002,Bela Vista de Minas,278,5.0337
2023,3105905,Barroso,507,5.2336
2023,3105707,Barra Longa,100,4.9698
2023,3105608,Barbacena,3008,5.3435
2023,3105509,Barão de Monte Alto,157,4.8174
2023,3132206,Itaguara,371,5.2501
2023,3105400,Barão de Cocais,797,5.3189
2023,3105301,Bandeira do Sul,179,5.2828
2023,3105202,Bandeira,113,4.4632
2023,3105103,Bambuí,506,5.2069
2023,3132404,Itajubá,1750,5.2486
2023,3105004,Baldim,242,4.8676
2023,3132602,Itamarati de Minas,86,4.9673
2023,3104908,Baependi,300,4.9675
2023,3104809,Augusto de Lima,166,4.8247
2023,3104700,Ataléia,325,4.4948
2023,3104601,Astolfo Dutra,340,4.9989
2023,3104502,Arinos,573,4.7633
2023,3104452,Aricanduva,185,4.4004
2023,3104403,Argirita,68,4.7974
2023,3133501,Itapecerica,527,5.0084
2023,3104304,Areado,396,5.2117
2023,3104205,Arcos,1093,5.3432
2023,3104106,Arceburgo,213,5.1716
2023,3104007,Araxá,2749,5.4262
